,action_i,action,cost,prob,user,tod
148,3,food,-1.0,0.84000000834465,6,4
149,3,food,-1.0,0.84000000834465,8,18
150,4,finance,-1.0,0.84000000834465,5,18
151,3,food,-1.0,0.84000000834465,4,6
152,3,food,0.0,0.84000000834465,6,21
153,4,finance,-1.0,0.84000000834465,9,6
154,2,music,0.0,0.039999997913837494,4,20
155,3,food,-1.0,0.84000000834465,4,10
156,3,food,-1.0,0.84000000834465,8,4
157,3,food,-1.0,0.84000000834465,0,19
158,3,food,-1.0,0.84000000834465,2,13
159,2,music,0.0,0.039999997913837494,2,18
160,4,finance,0.0,0.84000000834465,2,2
161,0,politics,0.0,0.039999997913837494,3,17
162,3,food,-1.0,0.84000000834465,2,9
163,3,food,-1.0,0.84000000834465,6,0
164,2,music,-1.0,0.84000000834465,9,10
165,3,food,-1.0,0.84000000834465,2,15
166,4,finance,-1.0,0.84000000834465,5,0
167,4,finance,0.0,0.039999997913837494,2,16
168,3,food,0.0,0.84000000834465,0,21
169,4,finance,0.0,0.84000000834465,3,20
170,3,food,-1.0,0.84000000834465,4,14
171,3,food,-1.0,0.84000000834465,6,9
172,3,food,0.0,0.84000000834465,0,21
173,4,finance,-1.0,0.84000000834465,7,3
174,3,food,-1.0,0.84000000834465,8,7
175,2,music,-1.0,0.84000000834465,3,1
176,4,finance,-1.0,0.84000000834465,9,9
177,4,finance,-1.0,0.84000000834465,5,17
178,1,sports,0.0,0.039999997913837494,7,8
179,3,food,-1.0,0.84000000834465,8,17
180,2,music,-1.0,0.84000000834465,1,5
181,4,finance,-1.0,0.84000000834465,0,12
182,3,food,-1.0,0.84000000834465,6,1
183,3,food,-1.0,0.84000000834465,4,4
184,3,food,0.0,0.84000000834465,6,21
185,3,food,-1.0,0.84000000834465,6,9
186,3,food,-1.0,0.84000000834465,8,18
187,3,food,-1.0,0.84000000834465,0,4
188,3,food,-1.0,0.84000000834465,8,2
189,3,food,0.0,0.84000000834465,8,23
190,3,food,-1.0,0.84000000834465,2,6
191,4,finance,-1.0,0.84000000834465,5,2
192,4,finance,-1.0,0.84000000834465,5,16
193,4,finance,-1.0,0.84000000834465,1,2
194,4,finance,0.0,0.84000000834465,3,15
195,4,finance,-1.0,0.84000000834465,5,14
196,4,finance,-1.0,0.84000000834465,9,7
197,3,food,-1.0,0.84000000834465,4,15
198,3,food,-1.0,0.84000000834465,8,6
199,4,finance,-1.0,0.84000000834465,7,16
200,3,food,-1.0,0.84000000834465,4,1
201,4,finance,-1.0,0.84000000834465,1,12
202,3,food,-1.0,0.84000000834465,6,16
203,4,finance,-1.0,0.84000000834465,7,5
204,3,food,0.0,0.84000000834465,4,23
205,3,food,-1.0,0.84000000834465,0,4
206,3,food,-1.0,0.84000000834465,6,8
207,3,food,-1.0,0.84000000834465,2,19
208,3,food,-1.0,0.84000000834465,0,18
209,0,politics,0.0,0.039999997913837494,5,3
210,3,food,-1.0,0.84000000834465,0,16
211,4,finance,-1.0,0.84000000834465,9,6
212,3,food,-1.0,0.84000000834465,8,11
213,2,music,0.0,0.039999997913837494,6,22
214,4,finance,-1.0,0.84000000834465,7,17
215,4,finance,-1.0,0.84000000834465,5,10
216,3,food,0.0,0.039999997913837494,7,23
217,3,food,0.0,0.84000000834465,8,21
218,4,finance,-1.0,0.84000000834465,5,1
219,4,finance,-1.0,0.84000000834465,5,7
220,4,finance,-1.0,0.84000000834465,5,9
221,4,finance,0.0,0.039999997913837494,6,18
222,3,food,-1.0,0.84000000834465,4,1
223,4,finance,-1.0,0.84000000834465,3,9
224,0,politics,0.0,0.039999997913837494,1,21
225,4,finance,-1.0,0.84000000834465,5,0
226,3,food,-1.0,0.84000000834465,4,12
227,3,food,-1.0,0.84000000834465,8,13
228,3,food,-1.0,0.84000000834465,2,1
229,4,finance,-1.0,0.84000000834465,7,8
230,3,food,-1.0,0.84000000834465,4,6
231,3,food,-1.0,0.84000000834465,2,7
232,3,food,0.0,0.84000000834465,6,21
233,3,food,-1.0,0.84000000834465,0,14
234,4,finance,-1.0,0.84000000834465,7,2
235,2,music,-1.0,0.039999997913837494,1,12
236,4,finance,-1.0,0.84000000834465,5,0
237,4,finance,-1.0,0.84000000834465,9,9
238,4,finance,-1.0,0.84000000834465,7,5
239,2,music,0.0,0.84000000834465,9,20
240,0,politics,0.0,0.039999997913837494,7,14
241,4,finance,-1.0,0.84000000834465,7,10
242,2,music,-1.0,0.84000000834465,3,1
243,4,finance,-1.0,0.84000000834465,7,10
244,3,food,-1.0,0.84000000834465,6,15
245,4,finance,-1.0,0.84000000834465,5,8
246,1,sports,0.0,0.039999997913837494,3,23
247,2,music,0.0,0.84000000834465,3,16
248,4,finance,-1.0,0.84000000834465,5,12
249,3,food,-1.0,0.84000000834465,8,6
250,4,finance,-1.0,0.84000000834465,5,1
251,2,music,0.0,0.84000000834465,1,22
252,1,sports,-1.0,0.039999997913837494,8,3
253,3,food,0.0,0.039999997913837494,5,9
254,2,music,-1.0,0.84000000834465,1,19
255,3,food,-1.0,0.84000000834465,8,8
256,4,finance,-1.0,0.84000000834465,1,18
257,2,music,-1.0,0.84000000834465,3,10
258,3,food,-1.0,0.84000000834465,4,4
259,3,food,-1.0,0.84000000834465,4,16
260,3,food,0.0,0.039999997913837494,3,9
261,0,politics,0.0,0.039999997913837494,2,0
262,4,finance,-1.0,0.84000000834465,5,11
263,3,food,-1.0,0.84000000834465,4,16
264,4,finance,0.0,0.84000000834465,3,18
265,3,food,-1.0,0.84000000834465,8,2
266,3,food,-1.0,0.84000000834465,2,17
267,3,food,-1.0,0.84000000834465,8,0
268,3,food,-1.0,0.84000000834465,0,13
269,3,food,-1.0,0.84000000834465,6,4
270,4,finance,-1.0,0.84000000834465,1,18
271,3,food,-1.0,0.84000000834465,4,4
272,0,politics,0.0,0.039999997913837494,4,11
273,1,sports,-1.0,0.039999997913837494,8,6
274,3,food,-1.0,0.84000000834465,0,8
275,4,finance,-1.0,0.84000000834465,3,9
276,4,finance,-1.0,0.84000000834465,5,16
277,3,food,-1.0,0.84000000834465,8,0
278,3,food,-1.0,0.84000000834465,6,6
279,4,finance,-1.0,0.84000000834465,6,9
280,4,finance,-1.0,0.84000000834465,1,17
281,4,finance,-1.0,0.84000000834465,5,0
282,3,food,0.0,0.84000000834465,6,23
283,1,sports,0.0,0.039999997913837494,4,16
284,2,music,-1.0,0.84000000834465,1,5
285,2,music,-1.0,0.84000000834465,1,19
286,3,food,-1.0,0.84000000834465,6,8
287,0,politics,0.0,0.039999997913837494,5,7
288,3,food,-1.0,0.84000000834465,4,17
289,4,finance,-1.0,0.84000000834465,5,9
290,4,finance,-1.0,0.84000000834465,7,12
291,3,food,-1.0,0.84000000834465,8,18
292,4,finance,0.0,0.84000000834465,0,22
293,4,finance,-1.0,0.84000000834465,1,2
294,1,sports,0.0,0.039999997913837494,2,14
295,1,sports,-1.0,0.039999997913837494,2,6
296,0,politics,-1.0,0.039999997913837494,6,14
297,3,food,-1.0,0.84000000834465,2,5
298,4,finance,-1.0,0.84000000834465,0,9
299,4,finance,-1.0,0.84000000834465,7,1
300,4,finance,-1.0,0.84000000834465,9,7
301,4,finance,-1.0,0.84000000834465,7,19
302,3,food,0.0,0.039999997913837494,9,16
303,3,food,-1.0,0.84000000834465,0,1
304,4,finance,0.0,0.84000000834465,3,18
305,4,finance,-1.0,0.84000000834465,5,6
306,3,food,-1.0,0.84000000834465,6,14
307,4,finance,-1.0,0.84000000834465,5,10
308,4,finance,-1.0,0.84000000834465,7,14
309,3,food,-1.0,0.84000000834465,2,1
310,4,finance,-1.0,0.84000000834465,9,6
311,3,food,-1.0,0.84000000834465,8,14
312,2,music,0.0,0.84000000834465,3,19
313,4,finance,0.0,0.84000000834465,5,21
314,2,music,0.0,0.039999997913837494,6,19
315,3,food,-1.0,0.84000000834465,8,13
316,3,food,-1.0,0.84000000834465,6,18
317,4,finance,-1.0,0.84000000834465,1,0
318,2,music,-1.0,0.84000000834465,1,10
319,4,finance,0.0,0.84000000834465,9,23
320,1,sports,-1.0,0.039999997913837494,2,7
321,4,finance,-1.0,0.84000000834465,0,2
322,1,sports,0.0,0.84000000834465,2,20
323,3,food,-1.0,0.84000000834465,6,13
324,4,finance,0.0,0.039999997913837494,8,11
325,3,food,0.0,0.84000000834465,2,20
326,3,food,0.0,0.039999997913837494,7,21
327,4,finance,-1.0,0.84000000834465,0,2
328,2,music,0.0,0.84000000834465,3,15
329,3,food,0.0,0.039999997913837494,3,6
330,4,finance,-1.0,0.84000000834465,1,2
331,3,food,-1.0,0.84000000834465,8,1
332,4,finance,-1.0,0.84000000834465,7,7
333,3,food,0.0,0.039999997913837494,3,21
334,4,finance,-1.0,0.84000000834465,7,0
335,2,music,-1.0,0.84000000834465,3,11
336,4,finance,-1.0,0.84000000834465,9,14
337,1,sports,0.0,0.039999997913837494,9,7
338,4,finance,-1.0,0.84000000834465,1,9
339,1,sports,0.0,0.84000000834465,8,23
340,0,politics,0.0,0.84000000834465,6,23
341,1,sports,0.0,0.84000000834465,8,23
342,1,sports,0.0,0.84000000834465,8,21
343,0,politics,0.0,0.039999997913837494,4,5
344,4,finance,-1.0,0.84000000834465,0,14
345,3,food,0.0,0.039999997913837494,3,19
346,2,music,-1.0,0.84000000834465,1,5
347,4,finance,-1.0,0.84000000834465,9,12
348,4,finance,-1.0,0.84000000834465,9,6
349,2,music,-1.0,0.84000000834465,3,10
350,4,finance,-1.0,0.84000000834465,1,17
351,4,finance,-1.0,0.84000000834465,1,18
352,4,finance,0.0,0.84000000834465,3,19
353,4,finance,-1.0,0.84000000834465,1,4
354,3,food,-1.0,0.84000000834465,2,5
355,3,food,-1.0,0.84000000834465,6,13
356,4,finance,-1.0,0.84000000834465,7,18
357,4,finance,-1.0,0.84000000834465,7,14
358,3,food,-1.0,0.84000000834465,6,14
359,3,food,-1.0,0.84000000834465,0,13
360,3,food,-1.0,0.84000000834465,6,17
361,3,food,-1.0,0.84000000834465,6,7
362,4,finance,-1.0,0.84000000834465,9,4
363,3,food,-1.0,0.039999997913837494,0,4
364,1,sports,-1.0,0.84000000834465,8,6
365,4,finance,-1.0,0.84000000834465,7,8
366,2,music,0.0,0.039999997913837494,5,9
367,3,food,-1.0,0.84000000834465,6,3
368,3,food,0.0,0.84000000834465,8,23
369,4,finance,-1.0,0.84000000834465,0,3
370,4,finance,0.0,0.84000000834465,9,20
371,4,finance,-1.0,0.84000000834465,5,19
372,4,finance,0.0,0.84000000834465,9,16
373,4,finance,-1.0,0.84000000834465,1,9
374,4,finance,-1.0,0.84000000834465,0,7
375,4,finance,-1.0,0.84000000834465,5,7
376,3,food,-1.0,0.84000000834465,4,3
377,0,politics,0.0,0.84000000834465,9,22
378,3,food,0.0,0.84000000834465,2,22
379,1,sports,0.0,0.84000000834465,2,22
380,3,food,-1.0,0.84000000834465,6,1
381,4,finance,-1.0,0.84000000834465,7,0
382,4,finance,-1.0,0.84000000834465,5,9
383,3,food,-1.0,0.84000000834465,4,6
384,4,finance,-1.0,0.84000000834465,3,4
385,3,food,-1.0,0.84000000834465,8,0
386,4,finance,-1.0,0.84000000834465,3,4
387,4,finance,-1.0,0.84000000834465,5,13
388,4,finance,-1.0,0.84000000834465,1,14
389,1,sports,-1.0,0.84000000834465,2,6
390,3,food,-1.0,0.84000000834465,8,0
391,3,food,0.0,0.84000000834465,8,23
392,1,sports,0.0,0.84000000834465,8,23
393,2,music,-1.0,0.84000000834465,1,5
394,3,food,-1.0,0.84000000834465,2,14
395,4,finance,-1.0,0.84000000834465,5,13
396,4,finance,-1.0,0.84000000834465,5,6
397,2,music,-1.0,0.039999997913837494,6,2
398,4,finance,-1.0,0.84000000834465,1,17
399,2,music,0.0,0.84000000834465,9,23
400,3,food,0.0,0.039999997913837494,9,8
401,3,food,-1.0,0.84000000834465,8,10
402,4,finance,-1.0,0.84000000834465,7,0
403,4,finance,0.0,0.84000000834465,0,21
404,2,music,0.0,0.039999997913837494,5,8
405,3,food,-1.0,0.84000000834465,2,7
406,4,finance,-1.0,0.84000000834465,9,2
407,3,food,-1.0,0.84000000834465,4,0
408,3,food,-1.0,0.84000000834465,8,4
409,3,food,-1.0,0.84000000834465,8,5
410,3,food,-1.0,0.84000000834465,4,16
411,3,food,0.0,0.039999997913837494,1,15
412,4,finance,-1.0,0.039999997913837494,1,15
413,2,music,-1.0,0.84000000834465,3,10
414,0,politics,0.0,0.039999997913837494,2,8
415,0,politics,0.0,0.039999997913837494,2,12
416,4,finance,-1.0,0.84000000834465,0,0
417,3,food,-1.0,0.84000000834465,6,4
418,4,finance,0.0,0.84000000834465,9,15
419,3,food,-1.0,0.84000000834465,2,3
420,3,food,-1.0,0.84000000834465,4,0
421,2,music,-1.0,0.84000000834465,3,1
422,2,music,0.0,0.039999997913837494,4,17
423,4,finance,0.0,0.84000000834465,3,17
424,4,finance,0.0,0.84000000834465,0,21
425,2,music,0.0,0.039999997913837494,4,4
426,3,food,-1.0,0.039999997913837494,2,12
427,1,sports,0.0,0.039999997913837494,0,17
428,4,finance,-1.0,0.84000000834465,9,3
429,4,finance,-1.0,0.84000000834465,7,19
430,4,finance,-1.0,0.84000000834465,9,9
431,4,finance,-1.0,0.84000000834465,1,6
432,4,finance,-1.0,0.84000000834465,5,4
433,4,finance,0.0,0.84000000834465,4,9
434,4,finance,0.0,0.84000000834465,9,16
435,4,finance,-1.0,0.84000000834465,7,16
436,4,finance,-1.0,0.84000000834465,7,4
437,4,finance,0.0,0.84000000834465,0,21
438,4,finance,0.0,0.84000000834465,9,15
439,4,finance,0.0,0.84000000834465,5,20
440,4,finance,-1.0,0.84000000834465,7,14
441,3,food,-1.0,0.84000000834465,0,17
442,2,music,-1.0,0.039999997913837494,6,7
443,3,food,-1.0,0.84000000834465,2,0
444,4,finance,0.0,0.84000000834465,9,16
445,3,food,0.0,0.84000000834465,8,20
446,3,food,-1.0,0.84000000834465,8,7
447,4,finance,-1.0,0.84000000834465,7,0
448,4,finance,-1.0,0.84000000834465,9,3
449,0,politics,-1.0,0.039999997913837494,6,7
450,3,food,-1.0,0.84000000834465,4,11
451,3,food,-1.0,0.84000000834465,6,3
452,3,food,-1.0,0.84000000834465,2,4
453,4,finance,-1.0,0.84000000834465,7,17
454,1,sports,0.0,0.039999997913837494,9,3
455,3,food,-1.0,0.84000000834465,6,4
456,3,food,-1.0,0.84000000834465,2,13
457,0,politics,0.0,0.84000000834465,6,22
458,3,food,-1.0,0.84000000834465,0,8
459,4,finance,-1.0,0.84000000834465,5,8
460,3,food,-1.0,0.84000000834465,8,1
461,3,food,0.0,0.84000000834465,6,22
462,4,finance,-1.0,0.84000000834465,5,19
463,4,finance,-1.0,0.84000000834465,9,0
464,3,food,-1.0,0.84000000834465,8,18
465,4,finance,-1.0,0.84000000834465,5,7
466,2,music,0.0,0.84000000834465,1,21
467,1,sports,0.0,0.039999997913837494,9,7
468,3,food,-1.0,0.84000000834465,6,14
469,3,food,-1.0,0.84000000834465,2,12
470,4,finance,0.0,0.84000000834465,7,22
471,4,finance,-1.0,0.84000000834465,5,0
472,2,music,-1.0,0.84000000834465,3,10
473,3,food,-1.0,0.84000000834465,4,3
474,4,finance,-1.0,0.84000000834465,7,19
475,4,finance,-1.0,0.84000000834465,9,2
476,4,finance,-1.0,0.84000000834465,3,13
477,1,sports,0.0,0.039999997913837494,4,18
478,4,finance,-1.0,0.84000000834465,9,14
479,0,politics,-1.0,0.039999997913837494,9,1
480,4,finance,0.0,0.84000000834465,7,23
481,2,music,-1.0,0.84000000834465,9,10
482,3,food,-1.0,0.84000000834465,8,15
483,2,music,-1.0,0.84000000834465,3,1
484,1,sports,-1.0,0.84000000834465,8,6
485,3,food,-1.0,0.84000000834465,6,10
486,3,food,0.0,0.84000000834465,4,21
487,2,music,-1.0,0.84000000834465,1,11
488,3,food,-1.0,0.84000000834465,8,7
489,4,finance,-1.0,0.84000000834465,3,7
490,4,finance,-1.0,0.84000000834465,1,15
491,4,finance,0.0,0.84000000834465,5,22
492,4,finance,-1.0,0.84000000834465,7,4
493,4,finance,-1.0,0.84000000834465,1,2
494,3,food,-1.0,0.84000000834465,2,13
495,4,finance,-1.0,0.84000000834465,5,0
496,3,food,-1.0,0.84000000834465,0,8
497,4,finance,-1.0,0.84000000834465,1,14
498,3,food,-1.0,0.84000000834465,8,5
499,3,food,-1.0,0.84000000834465,4,18
500,4,finance,-1.0,0.84000000834465,7,4
501,4,finance,-1.0,0.84000000834465,5,0
502,4,finance,-1.0,0.84000000834465,7,12
503,4,finance,-1.0,0.84000000834465,7,0
504,4,finance,-1.0,0.84000000834465,3,0
505,1,sports,0.0,0.039999997913837494,0,22
506,1,sports,-1.0,0.039999997913837494,6,5
507,4,finance,-1.0,0.84000000834465,5,10
508,4,finance,-1.0,0.84000000834465,1,0
509,3,food,-1.0,0.84000000834465,2,7
510,2,music,0.0,0.039999997913837494,8,4
511,3,food,-1.0,0.84000000834465,8,13
512,3,food,-1.0,0.84000000834465,4,12
513,3,food,-1.0,0.84000000834465,2,11
514,4,finance,-1.0,0.84000000834465,3,2
515,3,food,-1.0,0.84000000834465,4,15
516,4,finance,-1.0,0.84000000834465,6,9
517,1,sports,-1.0,0.84000000834465,6,6
518,3,food,-1.0,0.84000000834465,2,15
519,1,sports,0.0,0.039999997913837494,7,1
520,3,food,-1.0,0.84000000834465,0,5
521,4,finance,-1.0,0.84000000834465,5,19
522,4,finance,-1.0,0.84000000834465,3,13
523,0,politics,0.0,0.039999997913837494,7,16
524,2,music,-1.0,0.84000000834465,6,2
525,4,finance,-1.0,0.84000000834465,3,2
526,4,finance,-1.0,0.84000000834465,9,3
527,4,finance,-1.0,0.84000000834465,0,2
528,4,finance,-1.0,0.84000000834465,7,10
529,3,food,-1.0,0.84000000834465,6,10
530,3,food,-1.0,0.84000000834465,8,0
531,4,finance,0.0,0.84000000834465,1,20
532,4,finance,-1.0,0.84000000834465,9,12
533,0,politics,0.0,0.039999997913837494,2,13
534,3,food,-1.0,0.84000000834465,8,14
535,3,food,-1.0,0.84000000834465,2,9
536,4,finance,-1.0,0.84000000834465,5,0
537,4,finance,-1.0,0.84000000834465,1,18
538,4,finance,0.0,0.039999997913837494,2,8
539,4,finance,-1.0,0.84000000834465,7,16
540,4,finance,-1.0,0.84000000834465,5,2
541,4,finance,-1.0,0.84000000834465,7,16
542,0,politics,0.0,0.84000000834465,6,23
543,4,finance,-1.0,0.84000000834465,3,0
544,4,finance,-1.0,0.84000000834465,5,1
545,3,food,0.0,0.039999997913837494,5,6
546,3,food,-1.0,0.84000000834465,6,5
547,2,music,0.0,0.039999997913837494,4,9
548,4,finance,-1.0,0.84000000834465,5,3
549,4,finance,-1.0,0.84000000834465,3,2
550,3,food,-1.0,0.84000000834465,4,13
551,4,finance,0.0,0.84000000834465,1,21
552,3,food,-1.0,0.84000000834465,2,2
553,3,food,-1.0,0.84000000834465,0,16
554,4,finance,0.0,0.84000000834465,3,22
555,4,finance,-1.0,0.84000000834465,7,6
556,3,food,-1.0,0.84000000834465,0,17
557,3,food,0.0,0.84000000834465,2,20
558,1,sports,0.0,0.039999997913837494,2,16
559,3,food,-1.0,0.84000000834465,6,18
560,2,music,-1.0,0.039999997913837494,1,9
561,0,politics,0.0,0.84000000834465,9,20
562,4,finance,-1.0,0.84000000834465,0,9
563,3,food,-1.0,0.84000000834465,8,13
564,4,finance,-1.0,0.84000000834465,3,9
565,2,music,-1.0,0.84000000834465,1,11
566,3,food,0.0,0.84000000834465,8,23
567,3,food,0.0,0.84000000834465,0,21
568,4,finance,0.0,0.84000000834465,7,21
569,3,food,0.0,0.84000000834465,2,21
570,1,sports,0.0,0.039999997913837494,2,23
571,4,finance,-1.0,0.039999997913837494,3,11
572,3,food,-1.0,0.84000000834465,2,1
573,4,finance,0.0,0.039999997913837494,1,21
574,0,politics,-1.0,0.039999997913837494,6,1
575,4,finance,0.0,0.84000000834465,3,23
576,2,music,-1.0,0.039999997913837494,3,14
577,3,food,-1.0,0.84000000834465,8,14
578,3,food,-1.0,0.84000000834465,2,6
579,1,sports,-1.0,0.039999997913837494,1,11
580,3,food,0.0,0.84000000834465,2,23
581,2,music,0.0,0.039999997913837494,0,18
582,3,food,-1.0,0.84000000834465,8,3
583,4,finance,-1.0,0.84000000834465,0,12
584,4,finance,0.0,0.84000000834465,3,16
585,4,finance,0.0,0.84000000834465,7,23
586,3,food,-1.0,0.84000000834465,4,19
587,4,finance,-1.0,0.84000000834465,3,6
588,2,music,-1.0,0.039999997913837494,1,12
589,4,finance,0.0,0.84000000834465,9,19
590,4,finance,-1.0,0.84000000834465,5,6
591,2,music,-1.0,0.84000000834465,1,8
592,3,food,-1.0,0.84000000834465,0,1
593,4,finance,-1.0,0.84000000834465,3,3
594,4,finance,-1.0,0.84000000834465,3,10
595,4,finance,-1.0,0.84000000834465,3,6
596,3,food,0.0,0.84000000834465,0,21
597,3,food,0.0,0.84000000834465,4,23
